"","x"
"1","Actinidia deliciosa"
"2","Agave tequilana"
"3","Amaranthus caudatus"
"4","Beta vulgaris"
"5","Amaranthus tricolor"
"6","Chenopodium berlandieri"
"7","Chenopodium quinoa"
"8","Spinacia oleracea"
"9","Spondias dulcis"
"10","Anacardium occidentale"
"11","Spondias purpurea"
"12","Mangifera indica"
"13","Schinus molle"
"14","Pistacia vera"
"15","Rollinia mucosa"
"16","Annona cherimola"
"17","Asimina triloba"
"18","Pimpinella anisum"
"19","Daucus carota"
"20","Apium graveolens"
"21","Cuminum cyminum"
"22","Anethum graveolens"
"23","Petroselinum crispum"
"24","Alocasia macrorrhizos"
"25","Xanthosoma sagittifolium"
"26","Colocasia esculenta"
"27","Euterpe oleracea"
"28","Elaeis guineensis"
"29","Areca catechu"
"30","Cocos nucifera"
"31","Phoenix dactylifera"
"32","Metroxylon sagu"
"33","Cynara cardunculus"
"34","Cichorium intybus"
"35","Cichorium endivia"
"36","Helianthus tuberosus"
"37","Lactuca sativa"
"38","Carthamus tinctorius"
"39","Iva annua"
"40","Helianthus annuus"
"41","Eragrostis tef"
"42","Basella alba"
"43","Podophyllum peltatum"
"44","Corylus avellana"
"45","Bixa orellana"
"46","Brassica oleracea"
"47","Lepidium sativum"
"48","Armoracia rusticana"
"49","Lepidium meyenii"
"50","Raphanus sativus"
"51","Brassica napus"
"52","Ananas comosus"
"53","Canarium ovatum"
"54","Hylocereus undatus"
"55","Stenocereus queretaroensis"
"56","Opuntia ficus-indica"
"57","Cannabis sativa"
"58","Humulus lupulus"
"59","Capparis spinosa"
"60","Carica papaya"
"61","Catha edulis"
"62","Ipomoea aquatica"
"63","Ipomoea batatas"
"64","Momordica charantia"
"65","Lagenaria siceraria"
"66","Cucumis sativus"
"67","Luffa cylindrica"
"68","Cucurbita maxima"
"69","Cucurbita pepo"
"70","Citrullus lanatus"
"71","Cyperus esculentus"
"72","Dioscorea trifida"
"73","Dioscorea oppositifolia"
"74","Dioscorea alata"
"75","Diospyros nigra"
"76","Diospyros kaki"
"77","Vaccinium corymbosum"
"78","Vaccinium macrocarpum"
"79","Manihot esculenta"
"80","Ceratonia siliqua"
"81","Cicer arietinum"
"82","Phaseolus vulgaris"
"83","Vigna unguiculata"
"84","Lablab purpureus"
"85","Lens culinaris"
"86","Vigna radiata"
"87","Pisum sativum"
"88","Arachis hypogaea"
"89","Glycine max"
"90","Tamarindus indica"
"91","Castanea sativa"
"92","Ginkgo biloba"
"93","Gnetum africanum"
"94","Gnetum gnemon"
"95","Ribes nigrum"
"96","Crocus sativus"
"97","Irvingia gabonensis"
"98","Carya illinoinensis"
"99","Juglans regia"
"100","Ocimum basilicum"
"101","Lavandula angustifolia"
"102","Mentha spicata"
"103","Salvia officinalis"
"104","Persea americana"
"105","Laurus nobilis"
"106","Cinnamomum verum"
"107","Sassafras albidum"
"108","Bertholletia excelsa"
"109","Asparagus officinalis"
"110","Allium sativum"
"111","Allium cepa"
"112","Linum usitatissimum"
"113","Punica granatum"
"114","Adansonia digitata"
"115","Theobroma cacao"
"116","Cola nitida"
"117","Gossypium hirsutum"
"118","Durio zibethinus"
"119","Abelmoschus esculentus"
"120","Grewia tenax"
"121","Corchorus olitorius"
"122","Artocarpus altilis"
"123","Ficus carica"
"124","Morus alba"
"125","Ficus sycomorus"
"126","Musa acuminata"
"127","Ensete ventricosum"
"128","Syzygium aromaticum"
"129","Psidium guajava"
"130","Syzygium malaccense"
"131","Olea europaea"
"132","Vanilla planifolia"
"133","Oxalis pes-caprae"
"134","Averrhoa bilimbi"
"135","Oxalis tuberosa"
"136","Averrhoa carambola"
"137","Pandanus amaryllifolius"
"138","Sesamum indicum"
"139","Pinus edulis"
"140","Piper nigrum"
"141","Piper auritum"
"142","Hordeum vulgare"
"143","Triticum aestivum"
"144","Zea mays"
"145","Panicum miliaceum"
"146","Setaria italica"
"147","Pennisetum glaucum"
"148","Avena sativa"
"149","Oryza glaberrima"
"150","Oryza sativa"
"151","Secale cereale"
"152","Sorghum bicolor"
"153","Saccharum officinarum"
"154","Zizania palustris"
"155","Zizania latifolia"
"156","Fagopyrum esculentum"
"157","Macadamia integrifolia"
"158","Nigella sativa"
"159","Ziziphus jujuba"
"160","Prunus amygdalus"
"161","Malus domestica"
"162","Prunus armeniaca"
"163","Prunus avium"
"164","Prunus persica"
"165","Cydonia oblonga"
"166","Rubus idaeus"
"167","Fragaria ×ananassa"
"168","Coffea arabica"
"169","Morinda citrifolia"
"170","Citrus medica"
"171","Citrus paradisi"
"172","Citrus ×limon"
"173","Citrus reticulata"
"174","Zanthoxylum bungeanum"
"175","Citrus sinensis"
"176","Casimiroa edulis"
"177","Blighia sapida"
"178","Litchi chinensis"
"179","Chrysophyllum cainito"
"180","Vitellaria paradoxa"
"181","Illicium verum"
"182","Solanum viride"
"183","Capsicum annuum"
"184","Solanum sessiliflorum"
"185","Solanum melongena"
"186","Solanum macrocarpon"
"187","Solanum muricatum"
"188","Solanum tuberosum"
"189","Solanum aethiopicum"
"190","Lycopersicon esculentum"
"191","Camellia sinensis"
"192","Vitis vinifera"
"193","Encephalartos altensteinii"
"194","Encephalartos caffer"
"195","Curcuma angustifolia"
"196","Zingiber officinale"
"197","Curcuma longa"
