"","x"
"1","Abelmoschus moschatus"
"2","Abrus precatorius"
"3","Acacia concinna"
"4","Acacia confusa"
"5","Acacia farnesiana"
"6","Acacia longifolia"
"7","Acacia mangium"
"8","Acacia mearnsii"
"9","Acacia melanoxylon"
"10","Acacia nilotica"
"11","Acacia retinodes"
"12","Acacia saligna"
"13","Acanthocereus tetragonus"
"14","Acanthus mollis"
"15","Acer ginnala"
"16","Acer platanoides"
"17","Adenanthera pavonina"
"18","Aegilops triuncialis"
"19","Agapanthus praecox"
"20","Agave americana"
"21","Agave sisalana"
"22","Ageratina adenophora"
"23","Ageratina riparia"
"24","Ageratum conyzoides"
"25","Agrostis capillaris"
"26","Agrostis gigantea"
"27","Ailanthus altissima"
"28","Akebia quinata"
"29","Albizia julibrissin"
"30","Albizia lebbeck"
"31","Aleurites moluccanus"
"32","Alliaria petiolata"
"33","Alnus glutinosa"
"34","Alpinia zerumbet"
"35","Alternanthera philoxeroides"
"36","Alternanthera sessilis"
"37","Ambrosia artemisiifolia"
"38","Ammophila arenaria"
"39","Ampelopsis brevipedunculata"
"40","Andropogon virginicus"
"41","Annona glabra"
"42","Annona squamosa"
"43","Anredera cordifolia"
"44","Antidesma bunias"
"45","Antigonon leptopus"
"46","Archontophoenix cunninghamiana"
"47","Ardisia acuminata"
"48","Ardisia crenata"
"49","Ardisia elliptica"
"50","Arundo donax"
"51","Asparagus densiflorus"
"52","Asparagus officinalis"
"53","Asystasia gangetica"
"54","Austroeupatorium inulifolium"
"55","Bacopa monnieri"
"56","Bambusa vulgaris"
"57","Begonia cucullata"
"58","Bellis perennis"
"59","Berberis buxifolia"
"60","Berberis darwinii"
"61","Berberis thunbergii"
"62","Bidens pilosa"
"63","Boehmeria penduliflora"
"64","Bothriochloa pertusa"
"65","Brassica elongata"
"66","Brassica tournefortii"
"67","Bromus inermis"
"68","Bromus rubens"
"69","Bromus tectorum"
"70","Buddleja davidii"
"71","Buddleja madagascariensis"
"72","Butomus umbellatus"
"73","Cabomba caroliniana"
"74","Caesalpinia decapetala"
"75","Calluna vulgaris"
"76","Camelina sativa"
"77","Canna indica"
"78","Cardamine flexuosa"
"79","Cardamine glacialis"
"80","Cardiospermum grandiflorum"
"81","Carduus nutans"
"82","Carpobrotus edulis"
"83","Castilla elastica"
"84","Casuarina equisetifolia"
"85","Cecropia peltata"
"86","Cecropia schreberiana"
"87","Cedrela odorata"
"88","Celastrus orbiculatus"
"89","Cenchrus ciliaris"
"90","Cenchrus clandestinus"
"91","Cenchrus echinatus"
"92","Cenchrus macrourus"
"93","Cenchrus polystachios"
"94","Cenchrus setaceus"
"95","Centaurea biebersteinii"
"96","Centaurea diffusa"
"97","Centaurea melitensis"
"98","Centaurea solstitialis"
"99","Cerastium fontanum"
"100","Ceratophyllum demersum"
"101","Cestrum nocturnum"
"102","Cestrum parqui"
"103","Chromolaena odorata"
"104","Chrysanthemoides monilifera"
"105","Chrysobalanus icaco"
"106","Cinchona pubescens"
"107","Cinnamomum camphora"
"108","Cinnamomum verum"
"109","Cirsium arvense"
"110","Cirsium vulgare"
"111","Citharexylum spinosum"
"112","Clematis terniflora"
"113","Clematis vitalba"
"114","Clidemia hirta"
"115","Coccinia grandis"
"116","Colubrina asiatica"
"117","Commelina benghalensis"
"118","Conyza floribunda"
"119","Coronilla varia"
"120","Cortaderia jubata"
"121","Cortaderia selloana"
"122","Cotinus coggygria"
"123","Crassula helmsii"
"124","Cryptostegia grandiflora"
"125","Cryptostegia madagascariensis"
"126","Cupaniopsis anacardioides"
"127","Cuphea ignea"
"128","Cynanchum rossicum"
"129","Cynara cardunculus"
"130","Cynodon dactylon"
"131","Cynoglossum officinale"
"132","Cyperus rotundus"
"133","Cytisus scoparius"
